trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
6139594,7/10/2015 7:17,7/10/2015 7:34,4678,1049,77,Clinton St & Madison St,383,Ashland Ave & Harrison St,Subscriber,Female,1973.0
6582177,7/30/2015 18:21,7/30/2015 18:42,1354,1267,97,Museum Campus,2,Buckingham Fountain,Customer,,
6359467,7/20/2015 16:30,7/20/2015 16:42,537,691,110,Dearborn St & Erie St,91,Clinton St & Washington Blvd,Subscriber,Male,1980.0
6501106,7/26/2015 22:31,7/26/2015 22:42,478,656,24,Fairbanks Ct & Grand Ave,176,Clark St & Elm St,Customer,,
6104944,7/8/2015 8:57,7/8/2015 9:07,4270,627,25,Michigan Ave & Pearson St,133,Kingsbury St & Kinzie St,Subscriber,Male,1965.0
6312174,7/18/2015 14:35,7/18/2015 14:48,279,781,230,Lincoln Ave & Roscoe St,166,Ashland Ave & Wrightwood Ave,Customer,,
6479063,7/25/2015 20:37,7/25/2015 20:56,1275,1107,276,California Ave & North Ave,158,Milwaukee Ave & Wabansia Ave,Customer,,
5979237,7/2/2015 18:15,7/2/2015 18:37,1668,1316,47,State St & Kinzie St,268,Lake Shore Dr & North Blvd,Subscriber,Female,1985.0
6553194,7/29/2015 15:23,7/29/2015 15:52,3458,1744,249,Montrose Harbor,334,Lake Shore Dr & Belmont Ave,Customer,,
6548518,7/29/2015 10:21,7/29/2015 10:44,4339,1398,90,Millennium Park,284,Michigan Ave & Jackson Blvd,Customer,,
6431698,7/23/2015 19:46,7/23/2015 19:54,1795,478,292,Southport Ave & Clark St,325,Clark St & Winnemac Ave,Subscriber,Male,1966.0
6215204,7/13/2015 14:29,7/13/2015 15:02,1342,1961,284,Michigan Ave & Jackson Blvd,255,Indiana Ave & Roosevelt Rd,Customer,,
6226189,7/14/2015 6:18,7/14/2015 6:24,1680,369,5,State St & Harrison St,192,Canal St & Adams St,Subscriber,Male,1993.0
6313865,7/18/2015 15:28,7/18/2015 15:39,350,686,55,Halsted St & Roosevelt Rd,55,Halsted St & Roosevelt Rd,Customer,,
6509284,7/27/2015 13:03,7/27/2015 13:16,3130,782,93,Sheffield Ave & Willow St,93,Sheffield Ave & Willow St,Subscriber,Female,1974.0
6269844,7/16/2015 8:37,7/16/2015 8:43,1869,370,192,Canal St & Adams St,21,Aberdeen St & Jackson Blvd,Subscriber,Male,1972.0
6457455,7/24/2015 23:03,7/24/2015 23:10,3603,406,2,Buckingham Fountain,90,Millennium Park,Subscriber,Female,1958.0
6307005,7/18/2015 12:08,7/18/2015 12:32,4271,1421,268,Lake Shore Dr & North Blvd,99,Lake Shore Dr & Ohio St,Customer,,
6290745,7/17/2015 15:23,7/17/2015 15:44,864,1288,91,Clinton St & Washington Blvd,30,Ashland Ave & Augusta Blvd,Subscriber,Male,1989.0
6225335,7/13/2015 22:34,7/13/2015 23:21,3650,2801,427,Cottage Grove Ave & 63rd St,427,Cottage Grove Ave & 63rd St,Customer,,
5956755,7/1/2015 17:23,7/1/2015 17:29,717,345,51,Clark St & Randolph St,133,Kingsbury St & Kinzie St,Subscriber,Male,1984.0
6529849,7/28/2015 12:23,7/28/2015 12:30,411,418,264,Stetson Ave & South Water St,38,Clark St & Lake St,Customer,,
6221913,7/13/2015 18:37,7/13/2015 18:49,3844,722,72,Wabash Ave (State St) & 16th St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1985.0
5990683,7/3/2015 12:43,7/3/2015 13:22,4325,2376,459,Lakefront Trail & Bryn Mawr Ave,334,Lake Shore Dr & Belmont Ave,Customer,,
6144639,7/10/2015 11:37,7/10/2015 12:12,1709,2083,96,Desplaines St & Randolph St,33,State St & Van Buren St,Subscriber,Female,1986.0
6351382,7/20/2015 8:55,7/20/2015 8:56,2867,74,491,Talman Ave & Addison St,491,Talman Ave & Addison St,Subscriber,Female,1975.0
6045147,7/5/2015 10:55,7/5/2015 11:15,1871,1188,44,State St & Randolph St,99,Lake Shore Dr & Ohio St,Customer,,
6304921,7/18/2015 10:53,7/18/2015 11:27,3861,2046,458,Broadway & Thorndale Ave,156,Clark St & Wellington Ave,Subscriber,Female,1966.0
6461923,7/25/2015 10:15,7/25/2015 10:24,3331,523,329,Lake Shore Dr & Diversey Pkwy,232,Pine Grove Ave & Waveland Ave,Subscriber,Male,1978.0
6035473,7/4/2015 19:13,7/4/2015 19:18,1589,306,460,Clark St & Bryn Mawr Ave,461,Broadway & Ridge Ave,Subscriber,Male,1970.0
6188665,7/12/2015 11:58,7/12/2015 14:45,4419,9979,255,Indiana Ave & Roosevelt Rd,255,Indiana Ave & Roosevelt Rd,Customer,,
6242223,7/14/2015 19:11,7/14/2015 19:25,2851,803,24,Fairbanks Ct & Grand Ave,80,Aberdeen St & Monroe St (Madison St),Subscriber,Male,1986.0
6287555,7/17/2015 12:44,7/17/2015 13:09,3197,1494,4,Burnham Harbor,4,Burnham Harbor,Customer,,
6012744,7/4/2015 9:50,7/4/2015 10:00,373,594,300,Broadway & Barry Ave,302,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1969.0
6502748,7/27/2015 7:18,7/27/2015 7:22,890,279,89,Financial Pl & Congress Pkwy,286,Franklin St & Quincy St,Subscriber,Female,1984.0
6437402,7/24/2015 7:55,7/24/2015 8:08,1153,737,301,Clark St & Schiller St,47,State St & Kinzie St,Subscriber,Male,1985.0
6166589,7/11/2015 11:21,7/11/2015 11:25,4490,252,152,Lincoln Ave & Diversey Pkwy,226,Racine Ave & Belmont Ave,Subscriber,Male,1987.0
6096080,7/7/2015 18:10,7/7/2015 18:33,2269,1390,116,Western Ave & Winnebago Ave,152,Lincoln Ave & Diversey Pkwy,Subscriber,Male,1989.0
6289044,7/17/2015 13:57,7/17/2015 15:42,3813,6301,6,Dusable Harbor,35,Streeter Dr & Illinois St,Customer,,
6425104,7/23/2015 16:30,7/23/2015 16:47,645,1029,73,Jefferson St & Monroe St,223,Clifton Ave & Armitage Ave,Subscriber,Female,1985.0
5999237,7/3/2015 16:18,7/3/2015 16:30,2563,713,164,Franklin St & Lake St,39,Wabash Ave & Adams St,Subscriber,Male,1982.0
6353612,7/20/2015 11:32,7/20/2015 11:36,616,272,197,Michigan Ave & Madison St,52,Michigan Ave & Lake St,Subscriber,Male,1960.0
6196531,7/12/2015 15:20,7/12/2015 16:05,3550,2683,178,State St & 19th St,271,Cottage Grove Ave & 43rd St,Customer,,
6518733,7/27/2015 19:01,7/27/2015 19:20,3483,1148,3,Shedd Aquarium,49,Dearborn St & Monroe St,Customer,,
5984769,7/3/2015 8:07,7/3/2015 8:16,4822,531,241,Morgan St & Polk St,198,Green St (Halsted St) & Madison St,Subscriber,Male,1984.0
6488326,7/26/2015 12:57,7/26/2015 13:04,1815,425,100,Orleans St & Merchandise Mart Plaza,26,McClurg Ct & Illinois St,Customer,,
6141605,7/10/2015 8:39,7/10/2015 8:57,1653,1101,4,Burnham Harbor,76,Lake Shore Dr & Monroe St,Customer,,
6353204,7/20/2015 11:02,7/20/2015 11:11,3824,487,268,Lake Shore Dr & North Blvd,85,Michigan Ave & Oak St,Customer,,
6544648,7/29/2015 7:11,7/29/2015 7:21,1516,614,41,Federal St & Polk St,77,Clinton St & Madison St,Subscriber,Male,1991.0
6051545,7/5/2015 14:08,7/5/2015 14:47,997,2313,157,Lake Shore Dr & Wellington Ave,157,Lake Shore Dr & Wellington Ave,Subscriber,Female,1986.0
6089706,7/7/2015 13:34,7/7/2015 13:44,4716,611,340,Clark St & Wrightwood Ave,141,Clark St & Lincoln Ave,Subscriber,Female,1965.0
5945689,7/1/2015 8:01,7/1/2015 8:15,1632,851,7,Field Blvd & South Water St,91,Clinton St & Washington Blvd,Subscriber,Female,1990.0
5973435,7/2/2015 15:03,7/2/2015 15:11,3136,487,283,LaSalle St & Jackson Blvd,212,Wells St & Hubbard St,Subscriber,Male,1961.0
6359121,7/20/2015 16:17,7/20/2015 16:23,3162,337,59,Wabash Ave & Roosevelt Rd,39,Wabash Ave & Adams St,Subscriber,Male,1965.0
6080774,7/6/2015 17:54,7/6/2015 18:05,264,649,319,Greenview Ave & Diversey Pkwy,114,Sheffield Ave & Addison St,Subscriber,Female,1982.0
6232782,7/14/2015 12:50,7/14/2015 13:19,4391,1697,90,Millennium Park,284,Michigan Ave & Jackson Blvd,Customer,,
6313368,7/18/2015 15:08,7/18/2015 17:13,1097,7490,35,Streeter Dr & Illinois St,76,Lake Shore Dr & Monroe St,Customer,,
6510109,7/27/2015 13:46,7/27/2015 13:52,2671,363,45,Michigan Ave & Congress Pkwy,59,Wabash Ave & Roosevelt Rd,Subscriber,Male,1973.0
6500869,7/26/2015 22:06,7/26/2015 22:18,4236,687,249,Montrose Harbor,459,Lakefront Trail & Bryn Mawr Ave,Customer,,
6326634,7/19/2015 10:50,7/19/2015 11:32,1578,2575,309,Leavitt St & Armitage Ave,295,Broadway & Argyle St,Customer,,
6078554,7/6/2015 16:50,7/6/2015 17:04,2563,867,7,Field Blvd & South Water St,268,Lake Shore Dr & North Blvd,Subscriber,Female,1984.0
6606617,7/31/2015 19:04,7/31/2015 19:27,1606,1365,94,Clark St & Armitage Ave,114,Sheffield Ave & Addison St,Customer,,
6430731,7/23/2015 19:09,7/23/2015 19:18,4275,522,212,Wells St & Hubbard St,44,State St & Randolph St,Subscriber,Female,1988.0
6262618,7/15/2015 19:02,7/15/2015 19:18,1548,920,141,Clark St & Lincoln Ave,340,Clark St & Wrightwood Ave,Subscriber,Female,1983.0
6071207,7/6/2015 9:31,7/6/2015 9:54,1297,1347,252,Greenwood Ave & 47th St,148,State St & 33rd St,Subscriber,Female,1979.0
6211857,7/13/2015 10:37,7/13/2015 10:42,3695,329,196,Cityfront Plaza Dr & Pioneer Ct,43,Michigan Ave & Washington St,Subscriber,Male,1977.0
6167548,7/11/2015 11:50,7/11/2015 12:08,3461,1108,29,Noble St & Milwaukee Ave,268,Lake Shore Dr & North Blvd,Subscriber,Male,1989.0
6244394,7/14/2015 21:11,7/14/2015 21:30,2369,1163,272,Indiana Ave & 31st St,33,State St & Van Buren St,Subscriber,Male,1992.0
6146295,7/10/2015 12:57,7/10/2015 14:08,771,4263,328,Ellis Ave & 58th St,35,Streeter Dr & Illinois St,Customer,,
6508769,7/27/2015 12:35,7/27/2015 12:54,4742,1110,251,Clarendon Ave & Leland Ave,334,Lake Shore Dr & Belmont Ave,Customer,,
6057763,7/5/2015 16:39,7/5/2015 17:25,668,2725,177,Theater on the Lake,454,Broadway & Granville Ave,Customer,,
6129786,7/9/2015 16:59,7/9/2015 17:47,4073,2861,303,Broadway & Cornelia Ave,76,Lake Shore Dr & Monroe St,Customer,,
6139951,7/10/2015 7:34,7/10/2015 7:43,4110,520,98,LaSalle St & Washington St,76,Lake Shore Dr & Monroe St,Subscriber,Female,1987.0
6488260,7/26/2015 12:55,7/26/2015 13:18,4645,1376,301,Clark St & Schiller St,114,Sheffield Ave & Addison St,Subscriber,Female,1982.0
6119368,7/9/2015 6:15,7/9/2015 6:26,2827,635,224,Halsted St & Willow St,133,Kingsbury St & Kinzie St,Subscriber,Male,1985.0
6491766,7/26/2015 15:06,7/26/2015 15:13,3847,431,162,Damen Ave & Wellington Ave,310,Damen Ave & Charleston St,Subscriber,Female,1984.0
6019144,7/4/2015 12:48,7/4/2015 12:52,1302,248,69,Damen Ave & Pierce Ave,159,Claremont Ave & Hirsch St,Subscriber,Male,1968.0
6345915,7/19/2015 21:35,7/19/2015 21:58,361,1378,119,Ashland Ave & Lake St,16,Paulina  Ave (Wood St) & North Ave,Customer,,
