trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
6325008,7/19/2015 9:13,7/19/2015 9:29,3468,928,268,Lake Shore Dr & North Blvd,35,Streeter Dr & Illinois St,Subscriber,Female,1985.0
6003533,7/3/2015 18:10,7/3/2015 18:16,3293,335,313,Lakeview Ave & Fullerton Pkwy,349,Halsted St & Wrightwood Ave,Customer,,
6230992,7/14/2015 10:48,7/14/2015 11:29,2573,2505,24,Fairbanks Ct & Grand Ave,24,Fairbanks Ct & Grand Ave,Customer,,
6239054,7/14/2015 17:29,7/14/2015 17:35,1704,351,39,Wabash Ave & Adams St,47,State St & Kinzie St,Subscriber,Male,1983.0
6204329,7/12/2015 18:55,7/12/2015 19:04,3600,521,463,Clark St & Berwyn Ave,458,Broadway & Thorndale Ave,Subscriber,Male,1984.0
6343490,7/19/2015 19:36,7/19/2015 19:45,3639,555,92,Carpenter St & Huron St,130,Damen Ave & Division St,Subscriber,Male,1968.0
5958518,7/1/2015 18:10,7/1/2015 18:47,4759,2203,255,Indiana Ave & Roosevelt Rd,196,Cityfront Plaza Dr & Pioneer Ct,Customer,,
6250722,7/15/2015 10:35,7/15/2015 10:53,2036,1106,175,Wells St & Polk St,161,Rush St & Superior St,Subscriber,Female,1988.0
6344216,7/19/2015 20:08,7/19/2015 20:29,4823,1261,458,Broadway & Thorndale Ave,249,Montrose Harbor,Customer,,
6034227,7/4/2015 18:29,7/4/2015 19:16,3415,2853,90,Millennium Park,142,McClurg Ct & Erie St,Customer,,
6566894,7/30/2015 7:34,7/30/2015 7:41,3109,392,192,Canal St & Adams St,33,State St & Van Buren St,Subscriber,Male,1964.0
6252742,7/15/2015 12:39,7/15/2015 13:15,2455,2170,141,Clark St & Lincoln Ave,85,Michigan Ave & Oak St,Customer,,
6008370,7/3/2015 21:36,7/3/2015 22:07,3119,1862,301,Clark St & Schiller St,35,Streeter Dr & Illinois St,Customer,,
6153192,7/10/2015 17:11,7/10/2015 17:18,2301,429,108,Halsted St & Polk St,15,Racine Ave & 18th St,Subscriber,Male,1989.0
6339113,7/19/2015 17:06,7/19/2015 17:28,3285,1294,198,Green St (Halsted St) & Madison St,210,Ashland Ave & Division St,Subscriber,Male,1983.0
5978435,7/2/2015 17:45,7/2/2015 18:14,719,1683,230,Lincoln Ave & Roscoe St,176,Clark St & Elm St,Subscriber,Female,1992.0
6476049,7/25/2015 18:21,7/25/2015 18:40,3740,1110,2,Buckingham Fountain,370,Calumet Ave & 21st St,Customer,,
6286183,7/17/2015 11:33,7/17/2015 11:53,1617,1200,237,MLK Jr Dr & 29th St,4,Burnham Harbor,Customer,,
5962009,7/1/2015 21:06,7/1/2015 21:17,501,646,289,Wells St & Concord Pl,51,Clark St & Randolph St,Subscriber,Male,1988.0
6104944,7/8/2015 8:57,7/8/2015 9:07,4270,627,25,Michigan Ave & Pearson St,133,Kingsbury St & Kinzie St,Subscriber,Male,1965.0
6031683,7/4/2015 17:19,7/4/2015 17:28,2551,496,333,Ashland Ave & Blackhawk St,315,Elston Ave & Wabansia Ave,Subscriber,Female,1984.0
6509284,7/27/2015 13:03,7/27/2015 13:16,3130,782,93,Sheffield Ave & Willow St,93,Sheffield Ave & Willow St,Subscriber,Female,1974.0
5970251,7/2/2015 12:40,7/2/2015 12:48,4389,442,117,Wilton Ave & Belmont Ave,131,Lincoln Ave & Belmont Ave,Subscriber,Male,1959.0
6437402,7/24/2015 7:55,7/24/2015 8:08,1153,737,301,Clark St & Schiller St,47,State St & Kinzie St,Subscriber,Male,1985.0
6024690,7/4/2015 14:40,7/4/2015 14:50,3579,578,303,Broadway & Cornelia Ave,303,Broadway & Cornelia Ave,Subscriber,Male,1989.0
6563324,7/29/2015 21:36,7/29/2015 21:56,2429,1243,313,Lakeview Ave & Fullerton Pkwy,35,Streeter Dr & Illinois St,Subscriber,Male,1960.0
6117391,7/8/2015 20:16,7/8/2015 20:21,583,290,191,Canal St & Monroe St,233,Sangamon St & Washington Blvd,Subscriber,Male,1986.0
6555497,7/29/2015 16:54,7/29/2015 17:22,3751,1696,35,Streeter Dr & Illinois St,90,Millennium Park,Customer,,
6231658,7/14/2015 11:41,7/14/2015 11:55,1761,876,85,Michigan Ave & Oak St,49,Dearborn St & Monroe St,Subscriber,Male,1983.0
6063442,7/5/2015 19:42,7/5/2015 20:18,4709,2163,4,Burnham Harbor,3,Shedd Aquarium,Customer,,
5990683,7/3/2015 12:43,7/3/2015 13:22,4325,2376,459,Lakefront Trail & Bryn Mawr Ave,334,Lake Shore Dr & Belmont Ave,Customer,,
6439419,7/24/2015 9:15,7/24/2015 9:24,3794,525,91,Clinton St & Washington Blvd,217,May St & Fulton St,Subscriber,Male,1973.0
6448212,7/24/2015 16:21,7/24/2015 16:36,1602,872,231,Sheridan Rd & Montrose Ave,460,Clark St & Bryn Mawr Ave,Subscriber,Male,1982.0
6590565,7/31/2015 8:05,7/31/2015 8:13,4221,465,71,Morgan St & Lake St,191,Canal St & Monroe St,Subscriber,Female,1980.0
6484561,7/26/2015 10:24,7/26/2015 10:33,4826,568,359,Larrabee St & Division St,289,Wells St & Concord Pl,Subscriber,Male,1966.0
6246418,7/15/2015 6:56,7/15/2015 6:58,2089,136,115,Sheffield Ave & Wellington Ave,156,Clark St & Wellington Ave,Subscriber,Male,1990.0
6103315,7/8/2015 8:01,7/8/2015 8:06,4831,295,255,Indiana Ave & Roosevelt Rd,284,Michigan Ave & Jackson Blvd,Subscriber,Male,1980.0
6442560,7/24/2015 12:25,7/24/2015 12:51,816,1521,90,Millennium Park,25,Michigan Ave & Pearson St,Customer,,
5991100,7/3/2015 12:54,7/3/2015 13:14,2064,1197,284,Michigan Ave & Jackson Blvd,3,Shedd Aquarium,Customer,,
6339018,7/19/2015 17:04,7/19/2015 17:38,2284,2019,327,Sheffield Ave & Webster Ave,327,Sheffield Ave & Webster Ave,Subscriber,Female,1990.0
6051545,7/5/2015 14:08,7/5/2015 14:47,997,2313,157,Lake Shore Dr & Wellington Ave,157,Lake Shore Dr & Wellington Ave,Subscriber,Female,1986.0
6237209,7/14/2015 16:43,7/14/2015 21:26,4163,16972,2,Buckingham Fountain,59,Wabash Ave & Roosevelt Rd,Customer,,
6180615,7/11/2015 19:35,7/11/2015 19:58,4042,1375,90,Millennium Park,4,Burnham Harbor,Customer,,
6579035,7/30/2015 17:07,7/30/2015 17:23,3856,940,286,Franklin St & Quincy St,71,Morgan St & Lake St,Subscriber,Male,1985.0
6217042,7/13/2015 16:07,7/13/2015 16:11,2533,228,284,Michigan Ave & Jackson Blvd,33,State St & Van Buren St,Subscriber,Male,1992.0
6440492,7/24/2015 10:26,7/24/2015 10:56,690,1767,177,Theater on the Lake,172,Rush St & Cedar St,Customer,,
6261670,7/15/2015 18:27,7/15/2015 19:10,1047,2600,31,Franklin St & Chicago Ave,306,Sheridan Rd & Buena Ave,Customer,,
6472806,7/25/2015 16:21,7/25/2015 16:35,1707,849,125,Rush St & Hubbard St,125,Rush St & Hubbard St,Customer,,
5972000,7/2/2015 14:08,7/2/2015 14:36,3657,1704,76,Lake Shore Dr & Monroe St,321,Wabash Ave & 8th St,Customer,,
6149610,7/10/2015 15:20,7/10/2015 15:58,2275,2242,60,Dayton St & North Ave,90,Millennium Park,Customer,,
6495572,7/26/2015 17:20,7/26/2015 17:39,3958,1157,69,Damen Ave & Pierce Ave,56,Desplaines St & Kinzie St,Subscriber,Female,1980.0
6089553,7/7/2015 13:24,7/7/2015 13:27,3487,180,52,Michigan Ave & Lake St,197,Michigan Ave & Madison St,Subscriber,Male,1960.0
6039442,7/4/2015 22:05,7/4/2015 22:24,487,1102,87,Racine Ave & Fullerton Ave,143,Sedgwick St & Webster Ave,Customer,,
6236342,7/14/2015 16:12,7/14/2015 16:15,3167,187,48,Larrabee St & Kingsbury St,111,Sedgwick St & Huron St,Subscriber,Male,1978.0
6167313,7/11/2015 11:44,7/11/2015 12:41,3280,3393,19,Loomis St & Taylor St,85,Michigan Ave & Oak St,Customer,,
6471720,7/25/2015 15:42,7/25/2015 16:00,1233,1071,365,Halsted St & North Branch St,110,Dearborn St & Erie St,Customer,,
6069334,7/6/2015 8:04,7/6/2015 8:20,1602,943,62,McCormick Place,286,Franklin St & Quincy St,Subscriber,Male,1983.0
6446377,7/24/2015 15:16,7/24/2015 15:21,4770,349,195,Columbus Dr & Randolph St,194,Wabash Ave & Wacker Pl,Subscriber,Male,1973.0
6290178,7/17/2015 14:58,7/17/2015 15:08,3438,617,124,Damen Ave & Cullerton St,442,California Ave & 23rd Pl,Subscriber,Male,1989.0
6245694,7/15/2015 4:34,7/15/2015 4:48,2027,811,89,Financial Pl & Congress Pkwy,173,Mies van der Rohe Way & Chicago Ave,Subscriber,Male,1988.0
6164130,7/11/2015 9:47,7/11/2015 9:50,2148,175,88,May St & Randolph St,112,Green St & Randolph St,Subscriber,Male,1977.0
6143533,7/10/2015 10:27,7/10/2015 10:39,184,680,77,Clinton St & Madison St,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1984.0
6076434,7/6/2015 14:39,7/6/2015 15:32,4493,3217,26,McClurg Ct & Illinois St,126,Clark St & North Ave,Customer,,
6406689,7/22/2015 17:57,7/22/2015 18:14,2640,1043,84,Union Ave & Grand Ave,268,Lake Shore Dr & North Blvd,Subscriber,Female,1987.0
6324078,7/19/2015 7:03,7/19/2015 7:26,3888,1342,286,Franklin St & Quincy St,77,Clinton St & Madison St,Subscriber,Male,1974.0
6188460,7/12/2015 11:52,7/12/2015 13:06,1599,4448,173,Mies van der Rohe Way & Chicago Ave,35,Streeter Dr & Illinois St,Customer,,
6556125,7/29/2015 17:09,7/29/2015 17:17,1226,490,376,Artesian Ave & Hubbard St,374,Western Ave & Walton St,Subscriber,Female,1981.0
6080774,7/6/2015 17:54,7/6/2015 18:05,264,649,319,Greenview Ave & Diversey Pkwy,114,Sheffield Ave & Addison St,Subscriber,Female,1982.0
6223840,7/13/2015 20:11,7/13/2015 20:18,3656,433,316,Damen Ave & Sunnyside Ave,244,Ravenswood Ave & Irving Park Rd,Subscriber,Male,1978.0
6570373,7/30/2015 10:16,7/30/2015 10:17,2810,83,142,McClurg Ct & Erie St,142,McClurg Ct & Erie St,Customer,,
6068528,7/6/2015 7:27,7/6/2015 7:41,1641,886,192,Canal St & Adams St,25,Michigan Ave & Pearson St,Subscriber,Female,1986.0
6313865,7/18/2015 15:28,7/18/2015 15:39,350,686,55,Halsted St & Roosevelt Rd,55,Halsted St & Roosevelt Rd,Customer,,
