trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
7862069,10/9/2015 18:53,10/9/2015 19:03,1802,599,115,Sheffield Ave & Wellington Ave,227,Southport Ave & Waveland Ave,Customer,,
7782163,10/4/2015 10:48,10/4/2015 11:10,2518,1351,321,Wabash Ave & 8th St,268,Lake Shore Dr & North Blvd,Subscriber,Male,1946.0
8110511,10/28/2015 18:55,10/28/2015 19:08,1854,790,267,Lake Park Ave & 47th St,423,University Ave & 57th St,Subscriber,Male,1982.0
8394170,12/3/2015 8:12,12/3/2015 8:27,2978,906,91,Clinton St & Washington Blvd,261,Hermitage Ave & Polk St,Subscriber,Male,1956.0
8250781,11/10/2015 17:06,11/10/2015 17:20,4375,880,191,Canal St & Monroe St,210,Ashland Ave & Division St,Subscriber,Male,1989.0
8103490,10/28/2015 6:17,10/28/2015 6:23,4716,374,16,Paulina  Ave (Wood St) & North Ave,20,Sheffield Ave & Kingsbury St,Subscriber,Male,1986.0
7990329,10/19/2015 7:08,10/19/2015 7:35,158,1606,9,Leavitt St & Archer Ave,146,Loomis St & Jackson Blvd,Subscriber,Female,1973.0
8515937,12/21/2015 18:00,12/21/2015 18:17,2839,1004,175,Wells St & Polk St,341,Adler Planetarium,Subscriber,Male,1989.0
8489304,12/16/2015 14:04,12/16/2015 14:14,2308,644,471,Francisco Ave & Foster Ave,482,Campbell Ave & Montrose Ave,Subscriber,Male,1986.0
8044495,10/22/2015 17:09,10/22/2015 17:26,255,1017,58,Marshfield Ave & Cortland St,308,Seeley Ave & Roscoe St,Subscriber,Male,1973.0
8120401,10/29/2015 19:45,10/29/2015 19:54,1667,559,154,Southport Ave & Belmont Ave,318,Southport Ave & Irving Park Rd,Subscriber,Female,1989.0
8154361,11/2/2015 14:42,11/2/2015 15:12,1413,1805,161,Rush St & Superior St,2,Buckingham Fountain,Customer,,
7876795,10/10/2015 18:57,10/10/2015 19:17,4788,1223,417,Cornell Ave & Hyde Park Blvd,265,Cottage Grove Ave & Oakwood Blvd,Customer,,
8232972,11/9/2015 7:18,11/9/2015 7:33,1024,924,30,Ashland Ave & Augusta Blvd,161,Rush St & Superior St,Subscriber,Male,1990.0
8516828,12/21/2015 20:20,12/21/2015 20:32,3019,702,463,Clark St & Berwyn Ave,454,Broadway & Granville Ave,Subscriber,Male,1979.0
8464812,12/12/2015 13:18,12/12/2015 13:30,3188,758,158,Milwaukee Ave & Wabansia Ave,260,Kedzie Ave & Milwaukee Ave,Subscriber,Female,1988.0
8475142,12/14/2015 16:25,12/14/2015 16:34,696,516,192,Canal St & Adams St,21,Aberdeen St & Jackson Blvd,Subscriber,Male,1987.0
7790440,10/5/2015 8:02,10/5/2015 8:25,3658,1381,192,Canal St & Adams St,145,Mies van der Rohe Way & Chestnut St,Subscriber,Male,1955.0
8083271,10/26/2015 8:57,10/26/2015 13:12,3023,15298,48,Larrabee St & Kingsbury St,4,Burnham Harbor,Subscriber,Male,1971.0
8421324,12/7/2015 9:27,12/7/2015 9:32,116,275,121,Blackstone Ave & Hyde Park Blvd,267,Lake Park Ave & 47th St,Subscriber,Male,1967.0
7975591,10/17/2015 15:38,10/17/2015 15:41,3199,150,328,Ellis Ave & 58th St,420,Ellis Ave & 55th St,Subscriber,Male,1983.0
8041072,10/22/2015 13:44,10/22/2015 13:51,721,425,81,Daley Center Plaza,283,LaSalle St & Jackson Blvd,Subscriber,Male,1987.0
8484265,12/15/2015 17:43,12/15/2015 17:48,2119,327,288,Larrabee St & Armitage Ave,118,Sedgwick St & North Ave,Subscriber,Male,1985.0
8358232,11/25/2015 11:19,11/25/2015 11:39,365,1204,447,Glenwood Ave & Morse Ave,447,Glenwood Ave & Morse Ave,Customer,,
8419004,12/6/2015 23:05,12/6/2015 23:10,2322,266,240,Sheridan Rd & Irving Park Rd,306,Sheridan Rd & Buena Ave,Subscriber,Male,1994.0
8486366,12/16/2015 6:23,12/16/2015 6:47,2279,1398,278,Wallace St & 35th St,174,Canal St & Madison St,Subscriber,Male,1988.0
8250229,11/10/2015 16:42,11/10/2015 16:49,332,415,24,Fairbanks Ct & Grand Ave,140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1981.0
7808464,10/6/2015 12:51,10/6/2015 13:02,1731,645,301,Clark St & Schiller St,85,Michigan Ave & Oak St,Customer,,
8002078,10/19/2015 19:09,10/19/2015 19:21,4391,727,493,Western Ave & Roscoe St,258,Logan Blvd & Elston Ave,Subscriber,Male,1966.0
8343610,11/23/2015 7:25,11/23/2015 7:36,465,653,59,Wabash Ave & Roosevelt Rd,287,Franklin St & Monroe St,Subscriber,Male,1975.0
8281218,11/14/2015 6:27,11/14/2015 6:42,1495,872,130,Damen Ave & Division St,317,Wood St & Taylor St,Subscriber,Male,1991.0
8294273,11/15/2015 15:35,11/15/2015 15:50,254,890,152,Lincoln Ave & Diversey Pkwy,61,Wood St & Milwaukee Ave,Subscriber,Female,1982.0
8183196,11/4/2015 13:07,11/4/2015 13:32,1283,1451,2,Buckingham Fountain,198,Green St (Halsted St) & Madison St,Customer,,
8107425,10/28/2015 15:22,10/28/2015 15:31,1165,548,56,Desplaines St & Kinzie St,80,Aberdeen St & Monroe St (Madison St),Subscriber,Male,1975.0
7995947,10/19/2015 14:16,10/19/2015 14:20,2602,214,148,State St & 33rd St,149,Calumet Ave & 33rd St,Subscriber,Male,1989.0
7819030,10/7/2015 7:16,10/7/2015 7:27,4050,650,337,Clark St & Chicago Ave,91,Clinton St & Washington Blvd,Subscriber,Male,1982.0
8054865,10/23/2015 13:20,10/23/2015 13:24,172,248,44,State St & Randolph St,195,Columbus Dr & Randolph St,Subscriber,Male,1957.0
7753579,10/1/2015 16:26,10/1/2015 16:29,1102,157,213,Leavitt St & North Ave,213,Leavitt St & North Ave,Customer,,
8001722,10/19/2015 18:47,10/19/2015 18:59,3315,699,87,Racine Ave & Fullerton Ave,225,Halsted St & Dickens Ave,Customer,,
8087607,10/26/2015 16:05,10/26/2015 16:17,1545,722,98,LaSalle St & Washington St,92,Carpenter St & Huron St,Subscriber,Male,1957.0
7772333,10/2/2015 21:08,10/2/2015 21:16,3943,483,159,Claremont Ave & Hirsch St,185,Stave St & Armitage Ave,Subscriber,Female,1984.0
7805727,10/6/2015 8:46,10/6/2015 8:59,1365,739,174,Canal St & Madison St,50,Clark St & Congress Pkwy,Subscriber,Male,1973.0
8072561,10/25/2015 12:46,10/25/2015 12:53,1556,423,284,Michigan Ave & Jackson Blvd,90,Millennium Park,Customer,,
8433571,12/8/2015 18:15,12/8/2015 18:40,4540,1490,256,Broadway & Sheridan Rd,457,Clark St & Elmdale Ave,Subscriber,Female,1970.0
7914464,10/13/2015 8:01,10/13/2015 8:07,1198,368,46,Wells St & Walton St,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1990.0
7769219,10/2/2015 17:18,10/2/2015 17:33,3906,911,51,Clark St & Randolph St,268,Lake Shore Dr & North Blvd,Subscriber,Male,1977.0
7954428,10/15/2015 19:47,10/15/2015 19:53,3676,406,58,Marshfield Ave & Cortland St,61,Wood St & Milwaukee Ave,Subscriber,Male,1975.0
8466885,12/12/2015 17:20,12/12/2015 17:40,4183,1178,97,Museum Campus,26,McClurg Ct & Illinois St,Customer,,
8367038,11/28/2015 13:55,11/28/2015 14:04,3682,555,41,Federal St & Polk St,97,Museum Campus,Subscriber,Male,1968.0
7913280,10/13/2015 7:02,10/13/2015 7:16,123,868,195,Columbus Dr & Randolph St,85,Michigan Ave & Oak St,Subscriber,Male,1959.0
8470822,12/13/2015 16:08,12/13/2015 16:12,2856,229,240,Sheridan Rd & Irving Park Rd,254,Pine Grove Ave & Irving Park Rd,Subscriber,Male,1972.0
7755407,10/1/2015 17:29,10/1/2015 17:41,94,712,44,State St & Randolph St,172,Rush St & Cedar St,Subscriber,Male,1975.0
8096225,10/27/2015 8:23,10/27/2015 8:36,3877,800,137,Morgan Ave & 14th Pl,287,Franklin St & Monroe St,Subscriber,Male,1982.0
8182789,11/4/2015 12:34,11/4/2015 12:51,2169,985,344,Ravenswood Ave & Lawrence Ave,474,Christiana Ave & Lawrence Ave,Subscriber,Female,1980.0
8211904,11/6/2015 16:18,11/6/2015 16:27,1346,522,341,Adler Planetarium,255,Indiana Ave & Roosevelt Rd,Customer,,
8459431,12/11/2015 16:32,12/11/2015 16:38,2848,342,51,Clark St & Randolph St,197,Michigan Ave & Madison St,Subscriber,Male,1962.0
8142608,11/1/2015 14:56,11/1/2015 15:04,4369,471,334,Lake Shore Dr & Belmont Ave,304,Broadway & Waveland Ave,Subscriber,Male,1982.0
7969367,10/16/2015 22:32,10/16/2015 22:44,808,735,67,Sheffield Ave & Fullerton Ave,114,Sheffield Ave & Addison St,Subscriber,Male,1987.0
8383761,12/1/2015 16:47,12/1/2015 16:57,2057,557,220,Hampden Ct & Diversey Pkwy,126,Clark St & North Ave,Subscriber,Female,1975.0
8342848,11/22/2015 18:10,11/22/2015 18:31,1695,1257,211,St. Clair St & Erie St,183,Damen Ave & Augusta Blvd,Subscriber,Male,1987.0
8266310,11/12/2015 9:10,11/12/2015 9:18,4533,488,14,Morgan St & 18th St,241,Morgan St & Polk St,Subscriber,Male,1986.0
7973845,10/17/2015 13:45,10/17/2015 14:05,132,1195,141,Clark St & Lincoln Ave,233,Sangamon St & Washington Blvd,Subscriber,Male,1989.0
8088574,10/26/2015 16:50,10/26/2015 17:12,2988,1313,222,Milwaukee Ave & Rockwell St,111,Sedgwick St & Huron St,Subscriber,Female,1980.0
8209795,11/6/2015 12:57,11/6/2015 12:59,516,133,219,Damen Ave & Cortland St,310,Damen Ave & Charleston St,Subscriber,Male,1984.0
8051164,10/23/2015 8:16,10/23/2015 8:28,1248,689,255,Indiana Ave & Roosevelt Rd,89,Financial Pl & Congress Pkwy,Subscriber,Male,1969.0
7764868,10/2/2015 12:43,10/2/2015 12:48,2662,305,148,State St & 33rd St,272,Indiana Ave & 31st St,Subscriber,Female,1991.0
8255775,11/11/2015 7:56,11/11/2015 7:58,1737,138,465,Marine Dr & Ainslie St,251,Clarendon Ave & Leland Ave,Subscriber,Male,1970.0
8067011,10/24/2015 17:17,10/24/2015 17:30,1444,797,58,Marshfield Ave & Cortland St,127,Lincoln Ave & Fullerton Ave,Subscriber,Female,1988.0
7986959,10/18/2015 17:02,10/18/2015 17:10,3415,480,128,Damen Ave & Chicago Ave,374,Western Ave & Walton St,Subscriber,Male,1979.0
8068188,10/24/2015 19:49,10/24/2015 19:58,3834,528,2,Buckingham Fountain,59,Wabash Ave & Roosevelt Rd,Subscriber,Male,1981.0
7973619,10/17/2015 13:32,10/17/2015 13:54,3687,1344,177,Theater on the Lake,99,Lake Shore Dr & Ohio St,Subscriber,Female,1980.0
7944715,10/15/2015 8:50,10/15/2015 8:55,2480,285,75,Canal St & Jackson Blvd,109,900 W Harrison St,Subscriber,Male,1992.0
7938686,10/14/2015 18:11,10/14/2015 18:29,4369,1046,170,Clinton St & 18th St,14,Morgan St & 18th St,Subscriber,Male,1978.0
7874991,10/10/2015 17:08,10/10/2015 17:17,1279,544,340,Clark St & Wrightwood Ave,114,Sheffield Ave & Addison St,Subscriber,Female,1994.0
8255798,11/11/2015 7:57,11/11/2015 8:13,464,963,48,Larrabee St & Kingsbury St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1963.0
8110962,10/28/2015 19:54,10/28/2015 20:16,1618,1312,61,Wood St & Milwaukee Ave,259,California Ave & Francis Pl,Customer,,
8355701,11/24/2015 22:21,11/24/2015 22:28,4640,413,285,Wood St & Grand Ave,186,Ogden Ave & Race Ave,Subscriber,Male,1970.0
7826835,10/7/2015 16:02,10/7/2015 16:13,1658,661,24,Fairbanks Ct & Grand Ave,98,LaSalle St & Washington St,Subscriber,Male,1962.0
7896458,10/12/2015 7:14,10/12/2015 7:36,3268,1358,223,Clifton Ave & Armitage Ave,192,Canal St & Adams St,Subscriber,Female,1964.0
8401267,12/4/2015 7:38,12/4/2015 7:48,274,572,313,Lakeview Ave & Fullerton Pkwy,224,Halsted St & Willow St,Subscriber,Male,1983.0
